num_pipes,greedy_center,greedy_diag,greedy_shells
4,0.0002,0.0002,0.0002
4,0.0003,0.0004,0.0004
9,0.0005,0.0006,0.0006
9,0.0006,0.0006,0.0007
9,0.0005,0.0005,0.0005
16,0.0008,0.0006,0.0007
25,0.0027,0.0016,0.0019
25,0.0018,0.0017,0.0017
100,0.0036,0.0026,0.0044
225,0.0709,0.0382,0.0898
400,0.0619,0.0125,0.0729
625,0.0242,0.0291,0.0371
900,0.0477,0.0429,0.0557
1225,0.0554,0.0629,0.0627
1600,0.1116,0.0918,0.1144
2025,0.1097,0.1064,0.1094
2500,0.1512,0.1422,0.1660
avg_mem,0.9598 MB,1.028 MB,1.834 MB
