num_pipes,time_dfs,time_bfs,time_astar,time_greedy
4,0.0003,0.0003,0.0003,0.0002
4,0.0003,0.0003,0.0003,0.0004
9,0.0004,0.0004,0.0005,0.0006
9,0.0005,0.0005,0.00047,0.0006
9,0.0006,0.0006,0.0005,0.0005
16,0.0009,0.0009,0.0007,0.0006
25,0.0032,0.00154,0.0013,0.0016
25,0.0014,0.0013,0.0011,0.0017
100,0.0068,0.0072,0.3857,0.0026
225,1.3283,0.2394,0.0916,0.0382
400,0.9722,6.7018,0.0662,0.0125
625,0.7888,0.09574,0.2664,0.0291
900,0.8910,0.3977,0.0406,0.0429
1225,0.9951,0.5863,0.0466,0.0629
1600,2.8323,2.0115,0.0792,0.0918
2025,1.9911,2.0724,0.071813,0.1064
2500,3.8261,5.8965,0.0996,0.1422
avg_memory,"1,3951 MB",2.5128 MB,0.9675 MB,1.028 MB
